# Native image-edge pixels: sheet14.png 10852x7622. TPS. Import into a separate native-scan draft.
pixel_x,pixel_y,lon,lat,role,label
7218,3590,-61.3386802,46.1855246,check,Q02
6400,4940,-61.3800562,46.1431433,check,Q03
8570,1806,-61.2784062,46.2431588,check,F06
5853,3855,-61.4043153,46.1792191,check,F07
5156,6061,-61.4374246,46.1082965,check,G01
5948,3982,-61.4003982,46.1750765,check,T01
6090,4406,-61.3945209,46.1604956,check,T02
7810,3203,-61.3114722,46.1975077,check,T03
7586,3633,-61.3224035,46.18344,check,T04
9067,6058,-61.2402308,46.1109067,check,R04
