# PROVISIONAL, NOT FOR PRODUCTION LABELS OR TILES. Native sheet11.png 10771x7551 image-edge pixels. TPS.
pixel_x,pixel_y,lon,lat,role,label
8828,2488,-60.8910096,46.4013192,control,C01
8717,2971,-60.8951016,46.38646,control,C02
8378,2634,-60.9130651,46.3978189,control,C03
9107,1814,-60.8822083,46.4252224,control,C04
5981,3640,-61.0211491,46.3643683,control,C05
5745,3306,-61.0286577,46.3737384,control,C06
8713,5736,-60.8952376,46.2988386,control,C07
8818,6090,-60.8890499,46.2868578,control,C08
9220,5204,-60.8703501,46.3172293,control,C09
9368,5760,-60.8667206,46.2975872,control,C10
3800,1505,-61.1200209,46.4283762,control,C11
3848,2371,-61.1135166,46.4024338,control,C12
2890,5979,-61.163036,46.2849819,control,C14
3510,5978,-61.1336529,46.2853051,control,C15
1170,5105,-61.2443332,46.3116271,control,C17
860,3389,-61.25431668223287,46.3679652002784,control,C18
572,3847,-61.26611860040565,46.35212099990494,control,C19
3620,1104,-61.12683925535848,46.44175930960087,control,C20
5794,1067,-61.0332864,46.4467321,control,N01
5623,2459,-61.0382429,46.4008591,control,N02
5734,2940,-61.0298397,46.3859519,control,N03
3092,2173,-61.1518728,46.4080454,control,W01
3688,2565,-61.1245792,46.3936087,control,W02
8627,5331,-60.8992944,46.3100977,control,F01
4613,3834,-61.081042,46.3572813,control,T01
5824,3778,-61.0262948,46.3599987,check,Q01
8653,5436,-60.8986383,46.3071876,check,Q02
3662,1877,-61.1249697,46.4182353,check,Q03
3400,2330,-61.1388306,46.4034616,check,Q04
3586,6064,-61.1311937,46.2824542,check,Q06
9356,1615,-60.8715074,46.4314713,check,Q07
5527,1298,-61.0450747,46.4394202,check,Q08
2609,5702,-61.1768653,46.2924538,check,V01
9540,2511,-60.858284,46.4006729,check,V02
